SEL2	411 VAR CTRL			Date: 06/01	/2015   Tim	e: 20:11:56							
BIG	BLUE 161KV												
													
#	DATE	TIME	VA_MAG	VB_MAG	VC_MAG	MV10	SC01	SC02	P	Q	PF	MV32	MV27
1338	5/28/2015	4:45:01	95404.266	95168.352	95188.664	-10200	0	48	16868.508	8294.389	0.897	0	0
1337	5/28/2015	4:50:01	95306.062	95374.711	95114.891	-10200	0	48	17700.605	8105.73	0.909	0	0
1336	5/28/2015	4:55:02	94604.516	94388.187	94516.273	-7200	0	36	17531.877	-2238.928	0.992	0	0
1335	5/28/2015	5:00:02	94537.422	94547.883	94380.18	-4700	0	26	16758.422	-2919.735	0.985	0	0
1334	5/28/2015	5:05:02	94352.43	94197.992	94448.594	-700	0	10	16123.309	-3933.154	0.972	0	0
1333	5/28/2015	5:10:02	94369.219	94534.187	94653.695	2050	1	0	15208.407	-1730.754	0.994	0	0
1332	5/28/2015	5:15:01	94473.992	94569.312	94277.102	2300	2	0	17456.121	-3479.229	0.981	0	0
1331	5/28/2015	5:20:02	95401.523	95633.547	95731.523	-1950	0	15	19058.611	10655.033	0.873	0	0
1330	5/28/2015	5:25:02	95443.914	95871.297	95551.055	-6950	0	35	18870.842	10843.155	0.867	0	0
1329	5/28/2015	5:30:02	94687.203	94861.758	95003.203	-10200	0	48	18932.203	1911.92	0.995	0	0
1328	5/28/2015	5:35:01	94251.164	94358.281	94599.477	-5700	0	30	18088.619	-2452.962	0.991	0	0
1327	5/28/2015	5:40:01	94205.445	94238.828	94543.375	-700	0	10	18589.215	-2076.476	0.994	0	0
1326	5/28/2015	5:45:01	94144.961	94425.523	94443.453	4300	10	0	19408.777	-1542.418	0.997	1	0
1325	5/28/2015	5:50:02	94032.687	94342.953	94447.109	9300	30	0	18928.051	-1263.247	0.998	1	0
1324	5/28/2015	5:55:02	94391.937	94710.195	94374.078	13800	48	0	19056.975	-1410.398	0.997	1	0
1323	5/28/2015	6:00:01	94244.625	94610.461	94439.023	13800	48	0	19878.984	-1935.209	0.995	1	0
1322	5/28/2015	6:05:01	95527.711	95857.734	95571.125	11050	37	0	20102.391	10523.012	0.886	0	0
1321	5/28/2015	6:10:01	95496.203	95759.164	95742.07	6050	17	0	19536.355	10407.664	0.883	0	0
1320	5/28/2015	6:15:01	95767.82	95508.766	95615.273	1050	0	3	19298.176	10371.445	0.881	0	0
1319	5/28/2015	6:20:02	95531.406	95311.891	95571.406	-3950	0	23	19665.014	10513.025	0.882	0	0
1318	5/28/2015	6:25:02	95077.859	95209.57	95431.289	-5700	0	30	22047.021	7483.742	0.947	0	0
1317	5/28/2015	6:30:02	94286.93	94427.453	94578.977	-7200	0	36	24568.082	-3872.452	0.988	0	0
1316	5/28/2015	6:35:02	94580.828	94262.484	94323.539	-2450	0	17	27091.945	-6420.137	0.973	0	0
1315	5/28/2015	6:40:01	94479.602	94625.68	94307.453	-2450	0	17	29170.252	-6955.573	0.973	0	0
1314	5/28/2015	6:45:02	94585.047	94678.633	94387.227	-2450	0	17	28887.555	-6443.992	0.976	0	0
1313	5/28/2015	6:50:01	94340.82	94651.648	94530.336	-2450	0	17	25873.15	-6312.854	0.972	0	0
1312	5/28/2015	6:55:02	94789.484	94449.25	94453.93	-2450	0	17	24849.994	-4749.612	0.982	0	0
1311	5/28/2015	7:00:02	94788.906	94513.508	94727.93	-2450	0	17	23974.373	-4306.701	0.984	0	0
1310	5/28/2015	7:05:02	94811.375	94537.969	94787.594	-2450	0	17	21559.578	-4635.358	0.978	0	0
1309	5/28/2015	7:10:02	94919.758	94906.156	94625.844	-2450	0	17	20185.186	-4940.074	0.971	0	0
1308	5/28/2015	7:15:02	94943.93	94710.914	94908.43	-2450	0	17	19610.072	-4505.663	0.975	0	0
